id,name,address,addressNumber,zipCode,districtCode,districtName,altitude,nearbyStations,location,stationType,lat,lon
3,3 REFORMA-INSURGENTES,003 - Reforma - Insurgentes,S/N,06500,JUA,Juárez,,"[8, 20, 86]","{'lat': 19.431655, 'lon': -99.158668}","BIKE,TPV",19.431655,-99.158668
8,8 REFORMA-GENERAL PRIM,008 - Reforma - General Prim,S/N,06500,JUA,Juárez,,"[3, 20, 86]","{'lat': 19.431141, 'lon': -99.158317}",BIKE,19.431141,-99.158317
30,30 HAMBURGO-GENOVA,030 - Hamburgo - Genova,S/N,06500,JUA,Juárez,,"[26, 34, 35]","{'lat': 19.426442, 'lon': -99.164323}","BIKE,TPV",19.426442,-99.164323
31,31 HAMBURGO-INSURGENTES,031 - Hamburgo - Insurgentes,S/N,06500,JUA,Juárez,,"[19, 27, 30]","{'lat': 19.427838, 'lon': -99.161193}",BIKE,19.427838,-99.161193
32,32 LONDRES-SEVILLA,032 - Londres - Sevilla,S/N,06500,JUA,Juárez,,"[22, 38, 39]","{'lat': 19.422705, 'lon': -99.169922}",BIKE,19.422705,-99.169922
33,E33 LONDRES-FLORENCIA,033 - Londres - Florencia,S/N,06500,JUA,Juárez,,"[34, 35, 449]","{'lat': 19.424234, 'lon': -99.166431}",ELECTRIC_BIKE,19.424234,-99.166431
34,34 LIVERPOOL-GENOVA,034 - Liverpool - Genova,S/N,05600,JUA,Juárez,,"[30, 33, 35]","{'lat': 19.424725, 'lon': -99.163331}",BIKE,19.424725,-99.163331
35,35 LIVERPOOL-GENOVA,035 - Liverpool - Genova,S/N,06500,JUA,Juárez,,"[30, 34, 40]","{'lat': 19.424674, 'lon': -99.163292}","BIKE,TPV",19.424674,-99.163292
112,112 AV. MORELOS-ABRAHAM GONZALEZ,112 - Av. Morelos-Abraham González,S/N,06500,JUA,Juárez,,"[98, 113, 114]","{'lat': 19.432819, 'lon': -99.151734}",BIKE,19.432819,-99.151734
113,113 GENERAL PRIM-VERSALLES,113 - General Prim-Versalles,S/N,06500,JUA,Juárez,,"[114, 116, 119]","{'lat': 19.430369, 'lon': -99.154419}",BIKE,19.430369,-99.154419
114,114 LUCERNA-ABRAHAM GONZALEZ ,114 - Lucerna-Abraham González,S/N,06500,JUA,Juárez,,"[113, 116, 119]","{'lat': 19.428989, 'lon': -99.153618}",BIKE,19.428989,-99.153618
115,115 ROMA-DINAMARCA ,115 - Roma-Dinamarca,S/N,06500,JUA,Juárez,,"[116, 117, 118]","{'lat': 19.429947, 'lon': -99.159698}",BIKE,19.429947,-99.159698
116,116 LONDRES-ROMA,116 - Londres-Roma,S/N,06500,JUA,Juárez,,"[115, 118, 199]","{'lat': 19.428985, 'lon': -99.15664}",BIKE,19.428985,-99.15664
117,117 LONDRES-NAPOLES ,117 - Londres-Napoles,S/N,06500,JUA,Juárez,,"[116, 118, 120]","{'lat': 19.427132, 'lon': -99.160369}",BIKE,19.427132,-99.160369
118,118 LIVERPOOL-DINAMARCA,118 - Liverpool-Dinamarca,S/N,06500,JUA,Juárez,,"[116, 117, 120]","{'lat': 19.427114, 'lon': -99.158251}",BIKE,19.427114,-99.158251
119,119 TURÍN-ABRAHAM GONZÁLEZ,119 - Turín-Abraham González,S/N,06600,JUA,Juárez,,"[114, 118, 125]","{'lat': 19.42679, 'lon': -99.15554}",BIKE,19.42679,-99.15554
120,120 MARSELLA-NAPOLES,120 - Marsella-Nápoles,S/N,06500,JUA,Juárez,,"[117, 118, 121]","{'lat': 19.425437, 'lon': -99.159458}",BIKE,19.425437,-99.159458
121,121 NIZA-CHAPULTEPEC,121 - Niza-Chapultepec,S/N,06500,JUA,Juárez,,"[117, 120, 128]","{'lat': 19.424137, 'lon': -99.161317}",BIKE,19.424137,-99.161317
457,E457 AV. PRADO NORTE-EXPLANADA,457 AV. PRADO NORTE-EXPLANADA,S/N,11000,LCH,Lomas de Chapultepec Sección V,,"[454, 456, 459]","{'lat': 19.42703, 'lon': -99.212845}",ELECTRIC_BIKE,19.42703,-99.212845
454,E454 MONTES URALES-MONTE PELVOUX,454 MONTES URALES-MONTE PELVOUX,S/N,11000,LCH,Lomas de Chapultepec Sección V,,"[453, 455, 456, 457, 458, 459]","{'lat': 19.425905, 'lon': -99.204236}",ELECTRIC_BIKE,19.425905,-99.204236
455,455 PEDREGAL-FERROCARRIL DE CUERNAVACA,455 PEDREGAL-FERROCARRIL DE CUERNAVACA,S/N,11000,LCH,Lomas de Chapultepec Sección V,,"[453, 456, 458]","{'lat': 19.426308, 'lon': -99.203302}",BIKE,19.426308,-99.203302
456,456 ALPES-MONTES ESCANDINAVOS,456 ALPES-MONTES ESCANDINAVOS,S/N,11000,LCI,Lomas de Chapultepec Sección III,,"[453, 455, 458]","{'lat': 19.427517, 'lon': -99.208412}",BIKE,19.427517,-99.208412
458,458 MONTES URALES-VOLCÁN,458 MONTES URALES-VOLCÁN,S/N,11000,LCI,Lomas de Chapultepec Sección III,,"[453, 455, 456]","{'lat': 19.428679, 'lon': -99.206605}",BIKE,19.428679,-99.206605
459,E459 VOLCÁN-MONTES URALES,459 VOLCÁN-MONTES URALES,S/N,11000,LCI,Lomas de Chapultepec Sección III,,"[454, 457, 458]","{'lat': 19.429243, 'lon': -99.207267}",ELECTRIC_BIKE,19.429243,-99.207267
404,404 MIGUEL LAURENT-AVENIDA DIVISIÓN DEL NORTE,404 - Miguel Laurent-Avenida División Del Norte,S/N,3650,LEV,Letran Valle,,"[402, 403, 405]","{'lat': 19.373813, 'lon': -99.157387}",BIKE,19.373813,-99.157387
405,405 DIVISIÓN DEL NORTE-MUNICIPIO LIBRE,405 - División Del Norte-Municipio Libre,S/N,3303,LEV,Letran Valle,,"[402, 403, 404]","{'lat': 19.370619, 'lon': -99.156626}","BIKE,TPV",19.370619,-99.156626
374,374 PITÁGORAS-PILARES,374 - Anaxágoras-Pilares,S/N,3100,LEV,Letran Valle,,"[359, 375, 376]","{'lat': 19.376964, 'lon': -99.161116}","BIKE,TPV",19.376964,-99.161116
375,375 TENAYUCA-DIVISIÓN DEL NORTE,375 - Tenayuca-División Del Norte,S/N,3650,LEV,Letran Valle,,"[359, 374, 376]","{'lat': 19.376865, 'lon': -99.158818}",BIKE,19.376865,-99.158818
376,376 PITÁGORAS-AV. UNIVERSIDAD,376 - Pitágoras-Av. Universidad,S/N,3650,LEV,Letran Valle,,"[374, 375, 377]","{'lat': 19.375442, 'lon': -99.161595}",BIKE,19.375442,-99.161595
453,453 PEDREGAL-TEAPA,453 PEDREGAL-TEAPA,S/N,11000,MDR,Molino del Rey,,"[455, 456, 458]","{'lat': 19.424842, 'lon': -99.203739}",BIKE,19.424842,-99.203739
334,334 NUEVA YORK-AV. INSURGENTES,334 - Nuerva York-Av. Insurgentes,S/N,3840,NAP,Nápoles,,"[326, 335, 346]","{'lat': 19.386568, 'lon': -99.175089}",BIKE,19.386568,-99.175089
348,348 INDIANA-AVENIDA SAN ANTONIO,348 - Indiana-Avenida San Antonio,S/N,3710,NAP,Nápoles,,"[347, 349, 350]","{'lat': 19.385365, 'lon': -99.178216}",BIKE,19.385365,-99.178216
313,313 PENNSYLVANIA-OKLAHOMA,313 - Pennsylvania-Oklahoma,S/N,3810,NAP,Nápoles,,"[308, 309, 314]","{'lat': 19.391431, 'lon': -99.178989}",BIKE,19.391431,-99.178989
314,314 NUEVA YORK-LOUISIANA,314 - Nuerva York-Louisiana,S/N,3810,NAP,Nápoles,,"[307, 313, 327]","{'lat': 19.391647, 'lon': -99.177331}",BIKE,19.391647,-99.177331
315,315 ALABAMA-MONTANA,315 - Alabama-Montana,S/N,3810,NAP,Nápoles,,"[301, 302, 316]","{'lat': 19.391472, 'lon': -99.1736}",BIKE,19.391472,-99.1736
327,E327 GEORGIA -PENNSYLVANIA,327 - Georgia -Pennsylvania,S/N,3810,NAP,Nápoles,,"[300, 314, 326]","{'lat': 19.38885, 'lon': -99.17772}",ELECTRIC_BIKE,19.38885,-99.17772
284,284 DAKOTA-VERMONT,284 - Dakota-Vermont,S/N,3810,NAP,Nápoles,,"[289, 290, 291]","{'lat': 19.397693, 'lon': -99.172981}",BIKE,19.397693,-99.172981
289,289 CHICAGO-YOSEMITE,289 - Chicago-Yosemite,S/N,3810,NAP,Nápoles,,"[284, 290, 304]","{'lat': 19.397308, 'lon': -99.174548}",BIKE,19.397308,-99.174548
290,290 YOSEMITE-COLORADO,290 - Yosemite-Colorado,S/N,3810,NAP,Nápoles,,"[284, 289, 303]","{'lat': 19.396333, 'lon': -99.172667}",BIKE,19.396333,-99.172667
